Country,Correlation_Lag_21_Days
Netherlands,0.6963048920853029
Mexico,0.6938554602478442
Dominican Republic,0.6782322194643001
Honduras,0.6777697423814272
Czechia,0.6698149070238693
Belarus,0.6410038860633126
Peru,0.6388959426038261
Argentina,0.6374612176143297
Brazil,0.6312610020879701
Venezuela,0.6283574009457745
Kuwait,0.6242439848299713
Iraq,0.6145363641548418
France,0.6134100978615001
Tunisia,0.6129304784461211
Spain,0.6059226119557336
Poland,0.6044005096841885
United States,0.6021599575957514
Panama,0.6002240729964465
Austria,0.5948504663910907
Nigeria,0.5881503818194724
Italy,0.575179035623994
United Kingdom,0.5741342259332716
Slovakia,0.5720611788599264
Lebanon,0.5676686467800189
Bulgaria,0.5634063028174909
Saudi Arabia,0.5594920822096133
Egypt,0.5560681401698946
Algeria,0.553894976026219
Belgium,0.5442900880106198
Romania,0.5398523710770738
Iran,0.5354690864661376
Turkey,0.5321148549894673
Madagascar,0.5306486747837772
Cambodia,0.5286263319444091
United Arab Emirates,0.5283983388575462
Guyana,0.5282350279057462
Luxembourg,0.5246688571679629
Cape Verde,0.5230304225071177
Colombia,0.5225644310201543
Switzerland,0.5216447891071112
Hungary,0.5190044451824054
Albania,0.5168338595661167
Qatar,0.5157704965462586
Russia,0.5136812360534015
India,0.5091209365316237
South Africa,0.5056477491182857
Moldova,0.5055476799103552
Suriname,0.5048887864421773
Philippines,0.5043982562013842
San Marino,0.4993284766215379
Costa Rica,0.4979444274317822
Germany,0.4957410879083972
Estonia,0.4928827531177196
Pakistan,0.48966908258251884
Jordan,0.4852056670934702
Seychelles,0.47373309157496757
Kenya,0.473358747719446
Tajikistan,0.47155675318080553
Belize,0.4688591185699015
Greece,0.46802508020613287
Morocco,0.45876778757086334
Libya,0.45171494059223166
Palestine,0.4514169706912446
Lithuania,0.45037743871981445
Azerbaijan,0.4485549175325123
Jamaica,0.4445763636760742
Slovenia,0.4443618787322147
Fiji,0.4439997780093033
Andorra,0.4431502871224466
Sweden,0.44094117562914736
South Sudan,0.44057475479016883
Ireland,0.4392034983105058
Botswana,0.43734803995645655
Latvia,0.43165016060227124
Mali,0.42880559948468205
Indonesia,0.4253738942393695
Angola,0.42429793670279364
Gabon,0.42372065763651595
Dominica,0.4233394038020765
Uruguay,0.41415882548573946
Laos,0.41382426995692295
Sri Lanka,0.4115352231727751
Yemen,0.408376355220044
Canada,0.4031693289255876
Benin,0.4017956238857242
Solomon Islands,0.39756564819949874
Afghanistan,0.3971209787457209
Oman,0.391473380478515
Somalia,0.39076667928166087
Bangladesh,0.3892935136267936
Kosovo,0.3881428456112148
Eswatini,0.38504332691878934
Portugal,0.384692918855975
Bahrain,0.38388704227774334
Guinea,0.3826549223369217
Georgia,0.38137038257697004
Ukraine,0.3804914478169341
Uzbekistan,0.3792017893644858
Vietnam,0.3745587514203732
Syria,0.371779288630117
Kazakhstan,0.3691241823164727
Serbia,0.3681423683163097
Israel,0.36688793518011076
Namibia,0.3628630205282637
Chad,0.3619070222380454
Bolivia,0.3608829636257406
Mauritania,0.3594268173641972
Niger,0.3582777148131326
Lesotho,0.3568446462872302
Cameroon,0.3550511113724971
Zambia,0.3519624972656357
Croatia,0.34513162901823236
Malaysia,0.344841904412707
Ethiopia,0.34223087217574033
Malta,0.3339880521238176
Haiti,0.33322169928404854
Trinidad and Tobago,0.3310949891255655
Guatemala,0.3301325396633283
Togo,0.33004642798554307
Cuba,0.32872226281900696
Nepal,0.3284522449794808
Thailand,0.32745787680398003
Vanuatu,0.3221684631544326
Sierra Leone,0.2994955714961615
Democratic Republic of Congo,0.2963597286709693
Nicaragua,0.28712901314367306
Congo,0.2850553992156837
Mozambique,0.28019671378418837
Paraguay,0.27692980972626996
Liechtenstein,0.2740579925293835
Papua New Guinea,0.2650040302213587
Zimbabwe,0.26052398402830973
Bahamas,0.259817243859718
Uganda,0.2502236715789672
Brunei,0.24926339493160934
Rwanda,0.247498681682229
Malawi,0.24334438154201754
El Salvador,0.24058899545733828
Bosnia and Herzegovina,0.23859749021497098
Barbados,0.23303245258584931
Liberia,0.2325349653040802
Cyprus,0.22954817513411874
Ecuador,0.2268450722829451
Djibouti,0.22484781316365265
Central African Republic,0.22406079000074827
Kyrgyzstan,0.2056186625832784
Myanmar,0.20007702639948075
Chile,0.1960502278134312
Monaco,0.18478774351803426
Tonga,0.18449960066989318
Senegal,0.1721805140529876
Burkina Faso,0.17207975891754304
Mongolia,0.16864474890292006
Bermuda,0.15859028660863547
Mauritius,0.15121841809793146
Sudan,0.13553329491935584
Kiribati,0.13540635582298038
Ghana,0.11789706600883265
Gambia,0.08978855426503854
Aruba,0.08551375627775991
Cote d'Ivoire,0.07686883666837789
Bhutan,0.04127985915876528
Greenland,0.035428977404499094
Japan,0.029669163809791097
Singapore,0.027254883383095504
Tanzania,0.02577424201536573
Denmark,-0.01606757121247504
Iceland,-0.04648921113035272
Faroe Islands,-0.07441596399633944
China,-0.10111594402051098
Burundi,-0.10343041284066778
East Timor,-0.10353654320977396
South Korea,-0.13749925017843306
Norway,-0.19130044850570466
New Zealand,-0.2911163614304615
Australia,-0.30591297761562974
Finland,-0.3174194170986797
